"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"The Republican candidate and the deceased Venezuelan president are both populists by posture, if not ideology.","https://www.nytimes.com/2016/11/04/opinion/is-donald-trump-an-american-hugo-chavez.html","The Republican candidate and the deceased Venezuelan president are both populists by posture, if not ideology.","MEXICO CITY — To dramatic music, the video starts with a clip of the Republican nominee for president, Donald J. Trump, threatening to jail his rival, Hillary Clinton, before the words “Te recuerda a alguien” (“Does this remind you of someone”) pop up. The image switches to the former Venezuelan president Hugo Chávez, founder of the self-declared Socialist revolution, who steered his oil-rich nation to meltdown.","A","17","The New York Times","2016-11-03T13:01:53+0000","article","OpEd","Opinion","Op-Ed","nyt://article/d2b18026-f55f-560a-aa8c-a0394759d4f4",936,"nyt://article/d2b18026-f55f-560a-aa8c-a0394759d4f4",NA,"Is Donald Trump an American Hugo Chávez?","Contributing Op-Ed Writer",NA,"Is Trump the U.S. Chávez?",NA,NA,NA,"By Ioan Grillo",NA
"The white voters who have joined the electorate since 2012 are younger and likelier to support Hillary Clinton than those who were already registered.","https://www.nytimes.com/2016/11/04/upshot/donald-trump-cant-count-on-those-missing-white-voters.html","The white voters who have joined the electorate since 2012 are younger and likelier to support Hillary Clinton than those who were already registered.","Donald J. Trump and his supporters hope to overcome sweeping demographic shifts by rallying the support of “missing white voters” — disaffected, conservative populists who sat out the 2012 presidential election.","A","19","The New York Times","2016-11-03T13:33:55+0000","article","National","The Upshot","News","nyt://article/f7856eb2-5bdf-5f95-a352-23cea91f36e2",1177,"nyt://article/f7856eb2-5bdf-5f95-a352-23cea91f36e2",NA,"Donald Trump Can’t Count on Those ‘Missing White Voters’","The 2016 Race",NA,"Trump Can’t Count on Those ‘Missing White Voters’",NA,NA,NA,"By Nate Cohn",NA
"Records of Mr. Trump’s tax appeals and other documents indicate that actual income from some of his businesses may be nowhere near what he has reported on financial disclosures.","https://www.nytimes.com/2016/11/04/us/politics/donald-trump-money.html","Records of Mr. Trump’s tax appeals and other documents indicate that actual income from some of his businesses may be nowhere near what he has reported on financial disclosures.","On the financial disclosure forms that Donald J. Trump has pointed to as proof of his tremendous success, no venture looks more gold-plated than his golf resort in Doral, Fla., where he reported revenues of $50 million in 2014. That figure accounted for the biggest share of what he described as his income for the year.","A","1","The New York Times","2016-11-03T15:56:19+0000","article","National","U.S.","News","nyt://article/5b262757-c9a3-5106-a5d6-fea01e48b788",1627,"nyt://article/5b262757-c9a3-5106-a5d6-fea01e48b788","Politics","Donald Trump’s Income Isn’t Always What He Says It Is, Records Suggest",NA,NA,"Records Erode Trump’s Claims on His Income",NA,NA,NA,"By Russ Buettner",NA
"Trump’s tax avoidance may not have been illegal, “but it was sleazy, and unbefitting of someone aspiring to the highest office in the land,” a reader says.","https://www.nytimes.com/2016/11/04/opinion/donald-trumps-tax-maneuvers.html","Trump’s tax avoidance may not have been illegal, “but it was sleazy, and unbefitting of someone aspiring to the highest office in the land,” a reader says.","To the Editor:","A","28","The New York Times","2016-11-03T18:27:00+0000","article","Letters","Opinion","Letter","nyt://article/63615246-beac-5c45-889b-e0b8fcf7e8ef",217,"nyt://article/63615246-beac-5c45-889b-e0b8fcf7e8ef",NA,"Donald Trump’s Tax Maneuvers","Letter",NA,"Trump’s Tax Maneuvers",NA,NA,NA,"",NA
"The appearance came as Donald J. Trump’s campaign tries to sway undecided voters and women who have been wary of the Republican nominee.","https://www.nytimes.com/2016/11/04/us/politics/melania-trump-campaign.html","The appearance came as Donald J. Trump’s campaign tries to sway undecided voters and women who have been wary of the Republican nominee.","BERWYN, Pa. — Melania Trump made a rare appearance on the campaign trail in the battleground state of Pennsylvania on Thursday, seeking to soften her husband’s coarse image by proclaiming to voters that Donald J. Trump respects all Americans and promising that as president he would promote values of compassion and charity across the country.","A","22","The New York Times","2016-11-03T18:30:04+0000","article","National","U.S.","News","nyt://article/e03574ea-00a7-5d81-a889-76b5b8c02f54",880,"nyt://article/e03574ea-00a7-5d81-a889-76b5b8c02f54","Politics","Melania Trump, Solo in Pennsylvania, Tries to Smooth Husband’s Rough Edges",NA,NA,"Melania Trump Campaigns for Civility",NA,NA,NA,"By Alan Rappeport",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/04/briefing/asia-briefing.html","Here’s what you need to know to start your day.","Good morning. ",NA,NA,"The New York Times","2016-11-03T20:12:33+0000","article","NYTNow","Briefing","briefing","nyt://article/b92708bb-086b-5131-be17-0a1d8949701e",1115,"nyt://article/b92708bb-086b-5131-be17-0a1d8949701e",NA,"Mosul, ‘Brexit,’ Donald Trump: Your Friday Briefing","Asia Pacific Edition",NA,"",NA,NA,NA,"By Charles McDermid",NA
"Republicans are indicating that if they can’t gain control of government fairly, they’ll simply undermine it.","https://www.nytimes.com/2016/11/04/opinion/donald-trumps-impeachment-threat.html","Republicans are indicating that if they can’t gain control of government fairly, they’ll simply undermine it.","Donald Trump and other embattled Republican candidates are resorting to a particularly bizarre and dangerous tactic in the closing days of the campaign — warning that they may well seek to impeach Hillary Clinton if she wins, or, short of that, tie her up with endless investigations and other delaying tactics.","A","28","The New York Times","2016-11-04T00:26:18+0000","article","Editorial","Opinion","Editorial","nyt://article/0c3a4a9c-afcc-507a-b017-f902e159ae95",568,"nyt://article/0c3a4a9c-afcc-507a-b017-f902e159ae95",NA," Donald Trump’s Impeachment Threat","Editorial",NA,"Mr. Trump’s Impeachment Threat",NA,NA,NA,"By The Editorial Board","The Editorial Board"
"Seldom have the candidates’ divergent approaches to campaigning been on more vivid display than in the final days of the race.","https://www.nytimes.com/2016/11/04/us/politics/campaign-trump-clinton.html","Seldom have the candidates’ divergent approaches to campaigning been on more vivid display than in the final days of the race.","Saturating swing states with powerful campaign surrogates and mobilizing a vast field organization, Hillary Clinton on Thursday intensified her public attacks on Donald J. Trump as a threat to minorities in the hope of driving them to the polls in decisive numbers.","A","1","The New York Times","2016-11-04T01:22:34+0000","article","National","U.S.","News","nyt://article/b545a6f6-6239-5322-9657-6a755185635e",1288,"nyt://article/b545a6f6-6239-5322-9657-6a755185635e","Politics","Clinton Pushes Minority Turnout as Trump Tries to Rally His Base",NA,NA,"Campaigns Attack Election Map in Widely Divergent Game Plans",NA,NA,NA,"By Alexander Burns and Jonathan Martin",NA
"The former New York mayor claims that he has a pipeline into the F.B.I. and that agents are “outraged” about the outcome of the Clinton email investigation.","https://www.nytimes.com/2016/11/04/nyregion/as-trump-ally-rudy-giuliani-hints-at-ties-to-the-fbi.html","The former New York mayor claims that he has a pipeline into the F.B.I. and that agents are “outraged” about the outcome of the Clinton email investigation.","Rudolph W. Giuliani, the former mayor of New York, seemed in a giddy mood when he was interviewed last week on the “Fox & Friends” morning television show.","A","24","The New York Times","2016-11-04T01:36:00+0000","article","Metro","New York","News","nyt://article/4c43f670-fbd6-5728-a36c-b098bc97a84e",774,"nyt://article/4c43f670-fbd6-5728-a36c-b098bc97a84e",NA,"As Trump Ally, Rudy Giuliani Boasts of Ties to F.B.I.","About New York",NA,"As Trump Ally, Giuliani Boasts of Ties to F.B.I.",NA,NA,NA,"By Jim Dwyer",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/04/briefing/europe-briefing.html","Here’s what you need to know to start your day.","Good morning.",NA,NA,"The New York Times","2016-11-04T04:59:13+0000","article","NYTNow","Briefing","briefing","nyt://article/18532874-c608-5cad-a116-da110561b067",1065,"nyt://article/18532874-c608-5cad-a116-da110561b067",NA,"Melania Trump, ‘Brexit,’ Turkey: Your Friday Briefing","Europe Edition",NA,"",NA,NA,NA,"By Patrick Boehler",NA
"Journalists for The Times have been able to uncover much about the candidates, often altering the course of the campaign.","https://www.nytimes.com/2016/11/04/us/politics/clinton-trump-investigations.html","Journalists for The Times have been able to uncover much about the candidates, often altering the course of the campaign.","Hillary Clinton and Donald J. Trump have been in the public eye for decades. But journalists for The New York Times were still able to uncover much about the candidates, often altering the course of the campaign.",NA,NA,"The New York Times","2016-11-04T15:57:47+0000","article","National","U.S.","News","nyt://article/0fc65b61-78db-5211-a062-fdd89ba41c09",1030,"nyt://article/0fc65b61-78db-5211-a062-fdd89ba41c09","Politics","Clinton and Trump Revealed: Our Best Investigative Reporting on the 2016 Campaign",NA,NA,"",NA,NA,NA,"By Daniel Victor",NA
"Journalists covering the campaign for The Times have been delving into the lives of Donald J. Trump and Hillary Clinton. Here are some of our best stories about the candidates’ pasts.","https://www.nytimes.com/2016/11/04/us/politics/trump-clinton-personal-lives.html","Journalists covering the campaign for The Times have been delving into the lives of Donald J. Trump and Hillary Clinton. Here are some of our best stories about the candidates’ pasts.","For more than a year, journalists covering the presidential campaign for The New York Times have been delving into the lives of Donald J. Trump and Hillary Clinton.",NA,NA,"The New York Times","2016-11-04T16:00:07+0000","article","National","U.S.","News","nyt://article/c585a9ed-1afa-5adb-9210-803883410260",609,"nyt://article/c585a9ed-1afa-5adb-9210-803883410260","Politics","Their Lives, Up Close: What We’ve Learned About Donald Trump and Hillary Clinton",NA,NA,"",NA,NA,NA,"By Daniel Victor",NA
"Many New York plays, musicals and operas will take election night off, as audiences are likely to want prime seats for the biggest spectacle: the election.","https://www.nytimes.com/2016/11/05/theater/tuesday-nights-literal-showstoppers-clinton-and-trump.html","Many New York plays, musicals and operas will take election night off, as audiences are likely to want prime seats for the biggest spectacle: the election.","Usually it takes a blizzard, a hurricane or a strike for the show not to go on at New York’s leading cultural institutions. But the Metropolitan Opera, more than half of Broadway theaters and the White Light Festival at Lincoln Center will all go dark on Tuesday evening rather than compete with the most compelling, consequential theater in town: the presidential election.","C","3","The New York Times","2016-11-04T16:12:17+0000","article","Culture","Theater","News","nyt://article/3b26d8d3-d60d-5d09-a0bd-1a60a3231e6f",651,"nyt://article/3b26d8d3-d60d-5d09-a0bd-1a60a3231e6f",NA,"Tuesday Night’s Literal Showstoppers: Clinton and Trump",NA,NA,"Tuesday Night’s Literal Showstoppers: The Drama Stars Clinton and Trump",NA,NA,NA,"By Michael Cooper and Michael Paulson",NA
"If the election is making you consider leaving the United States, expats have a few words of advice on how to travel as if you’re moving rather than going on vacation.","https://www.nytimes.com/2016/11/04/travel/election-moving-to-canada-donald-trump-hillary-clinton.html","If the election is making you consider leaving the United States, expats have a few words of advice on how to travel as if you’re moving rather than going on vacation.","Rob Calabrese, a Canadian radio disc jockey, launched a website earlier this year inviting Americans to take refuge on a Nova Scotia island. The site, Cape Breton if Donald Trump Wins, has received two million visits and so many inquiries about emigrating that it now offers a link to the Canadian government’s application. (President Obama even mentioned it during a state dinner with Justin Trudeau, the Canadian prime minister.) The site was, of course, a response to a familiar refrain, the threat to move abroad if politics doesn’t go your way. During this presidential campaign, people took to Twitter to vow to move to Canada, and the use of the search phrase “move to Canada” surged on Google.","TR","4","The New York Times","2016-11-04T16:39:00+0000","article","Travel","Travel","News","nyt://article/2e0e2a69-ae0a-57e9-8e69-8d9347c3153d",1019,"nyt://article/2e0e2a69-ae0a-57e9-8e69-8d9347c3153d",NA,"Dreading a President Clinton or Trump? How to Try a New Country",NA,NA,"Mulling a Move? How to Try Out a New Country",NA,NA,NA,"By Julie Lasky",NA
